Ver. 2.0
CustomSeparator  
auto_time double double double double double double double double double double #
1.151844 0.004025 0.013953 0.000000 585.051369 0.010363 0.002771 0.000005 0.000039 0.006710 0.081890
1.168212 0.004259 0.014787 0.000000 585.046504 0.010730 0.002544 0.000006 0.000045 0.007211 0.081985
1.182766 0.005347 0.015390 0.000000 585.043860 0.011092 0.002329 0.000013 0.000068 0.007708 0.081985
1.200191 0.005474 0.016347 0.000000 585.045469 0.012473 0.002007 0.000026 0.000065 0.008228 0.081994
1.213876 0.005664 0.016998 0.000000 585.045069 0.015096 0.001797 0.000025 0.000041 0.008907 0.081994
1.231554 0.003785 0.017501 0.000000 585.044311 0.018773 0.001457 0.000021 0.000017 0.009728 0.082007
1.245036 0.005498 0.017277 0.000000 585.044739 0.022411 0.001265 0.000025 0.000053 0.010513 0.082007
1.263577 0.005261 0.016724 0.000000 585.048215 0.025971 0.001142 0.000059 0.000149 0.011061 0.082019
1.276294 0.005619 0.015769 0.000000 585.050036 0.027922 0.001265 0.000067 0.000192 0.011470 0.082019
1.289988 0.321038 0.014699 0.000000 585.056572 0.028270 0.001840 0.000081 0.000142 0.011942 0.081981
1.303198 0.005136 0.013597 0.000000 585.060386 0.027086 0.002715 0.000051 0.000095 0.012382 0.081981
1.319919 0.006008 0.012741 0.000000 585.067223 0.024401 0.003589 0.000019 0.000045 0.013080 0.081709
1.334474 0.005281 0.012392 0.000000 585.070052 0.021356 0.004429 0.000029 0.000011 0.013685 0.081709
1.350183 0.006791 0.012697 0.000000 585.075188 0.018836 0.004977 0.000133 0.000006 0.013931 0.081661
1.367644 0.005301 0.013150 0.000000 585.082405 0.017283 0.005145 0.000192 0.000004 0.013903 0.081661
1.382325 0.005528 0.014038 0.000000 585.089289 0.016473 0.005502 0.000157 0.000018 0.013429 0.081740
1.398452 0.005375 0.015264 0.000000 585.094227 0.016040 0.006613 0.000105 0.000116 0.012639 0.081740
1.414737 0.004353 0.016092 0.000000 585.099388 0.015553 0.008292 0.000133 0.000302 0.011811 0.081639
1.430673 0.004852 0.017119 0.000000 585.100951 0.015554 0.010587 0.000337 0.000506 0.011000 0.081639
1.445102 0.004988 0.017961 0.000000 585.113642 0.015987 0.013500 0.000514 0.000698 0.009948 0.081642
1.460060 0.005656 0.019186 0.000000 585.116189 0.017066 0.016131 0.000676 0.000598 0.009034 0.081642
1.473614 0.004882 0.020645 0.000000 585.122887 0.018355 0.018246 0.000498 0.000460 0.008419 0.081391
1.487534 0.004802 0.022655 0.000000 585.122151 0.019468 0.018307 0.000331 0.000342 0.007758 0.081391
1.504676 0.004298 0.024231 0.000000 585.119571 0.020313 0.017672 0.000161 0.000230 0.007324 0.081275
1.521929 0.005237 0.025749 0.000000 585.122275 0.020747 0.016704 0.000153 0.000135 0.007192 0.081275
1.537470 0.004700 0.027299 0.000000 585.121678 0.021404 0.015453 0.000170 0.000078 0.007149 0.081052
1.551900 0.335819 0.028605 0.000000 585.120274 0.021564 0.013691 0.000161 0.000087 0.007041 0.081052
1.566036 0.339299 0.029111 0.000000 585.117106 0.021146 0.012545 0.000055 0.000085 0.007026 0.081174
1.579111 0.004455 0.029256 0.000000 585.113150 0.020008 0.011154 0.000024 0.000076 0.007124 0.081174
1.595423 0.005180 0.028901 0.000000 585.108514 0.018097 0.009406 0.000021 0.000077 0.007254 0.080790
1.611722 0.346525 0.028177 0.000000 585.095742 0.017164 0.007749 0.000062 0.000074 0.007394 0.080790
1.625649 0.006099 0.027584 0.000000 585.085254 0.016782 0.006549 0.000088 0.000052 0.007551 0.081064
1.638998 0.360547 0.027090 0.000000 585.065279 0.017751 0.005984 0.000059 0.000034 0.007981 0.081064
1.652650 0.009583 0.026921 0.000000 585.055303 0.020264 0.005501 0.000099 0.000023 0.008779 0.080735
1.666198 0.007851 0.026807 0.000000 585.023184 0.024255 0.005098 0.000102 0.000047 0.009592 0.080735
1.679330 0.353062 0.026263 0.000000 584.993816 0.029923 0.004748 0.000148 0.000081 0.010694 0.080757
1.693293 0.010083 0.025689 0.000000 584.949543 0.037322 0.004672 0.000162 0.000114 0.011797 0.080757
1.708739 0.011099 0.025409 0.000000 584.902576 0.047100 0.004792 0.000151 0.000127 0.012637 0.080972
1.722281 0.015583 0.025475 0.000000 584.839571 0.059634 0.006240 0.000092 0.000169 0.013492 0.080972
1.735919 0.019477 0.025378 0.000000 584.771114 0.074735 0.010202 0.000043 0.000169 0.014346 0.081064
1.748831 0.027044 0.025517 0.000000 584.690845 0.095766 0.018148 0.000018 0.000110 0.015031 0.081064
1.762185 0.034909 0.025894 0.000000 584.587663 0.125516 0.032935 0.000012 0.000071 0.015264 0.081229
1.775512 0.045332 0.026043 0.000000 584.472951 0.165559 0.055321 0.000001 0.000036 0.015593 0.081229
1.788791 0.070811 0.026264 0.000000 584.328567 0.229877 0.089813 0.000001 0.000014 0.015987 0.081216
1.801796 0.098075 0.026667 0.000000 584.161606 0.313668 0.138215 0.000004 0.000005 0.016372 0.081216
1.818604 0.150024 0.027209 0.000000 583.953021 0.430741 0.206824 0.000017 0.000009 0.016742 0.081085
1.833741 0.269516 0.028473 0.000000 583.685910 0.588327 0.301824 0.000073 0.000036 0.016771 0.081085
1.848748 0.277872 0.030292 0.000000 583.385386 0.804997 0.430970 0.000068 0.000086 0.016828 0.081343
1.864355 0.398222 0.033576 0.000000 583.032749 1.129184 0.609284 0.000078 0.000117 0.017096 0.081343
1.881669 0.894494 0.038775 0.000000 582.612842 1.614279 0.880316 0.000049 0.000153 0.016666 0.082167
1.897245 0.649841 0.046776 0.000000 582.132223 2.333413 1.289924 0.000009 0.000138 0.016155 0.082167
1.910682 0.839311 0.057972 0.000000 581.550610 3.377372 1.933623 0.000016 0.000107 0.015209 0.294373
1.927900 1.026731 0.070285 0.000000 580.848989 4.886422 2.924239 0.000017 0.000061 0.013745 0.294373
1.943726 1.222507 0.083491 0.000000 580.117727 7.054734 4.434121 0.000038 0.000027 0.012352 0.292210
1.961933 1.459425 0.095455 0.000000 579.314681 9.987630 6.604106 0.000054 0.000016 0.011344 0.292210
1.977763 1.802417 0.106336 0.000000 578.418148 14.002611 9.633515 0.000049 0.000009 0.011154 0.289934
1.994766 2.028524 0.117918 0.000000 577.430987 19.175554 13.535791 0.000061 0.000016 0.011628 0.289934
2.012841 2.319234 0.125641 0.000000 576.327378 25.617908 18.446088 0.000084 0.000043 0.012775 0.256233
2.030325 2.608666 0.129160 0.000000 575.126703 33.469528 24.353880 0.000066 0.000085 0.014465 0.256233
2.047494 2.814342 0.128830 0.000000 573.867203 42.475450 31.172291 0.000071 0.000134 0.015820 0.256515
2.065371 3.247855 0.123383 0.000000 572.525153 52.611706 38.988441 0.000076 0.000146 0.016374 0.256515
2.081815 3.573389 0.115899 0.000000 571.109415 63.624736 47.954001 0.000076 0.000112 0.016576 0.281996
2.097137 3.864474 0.104305 0.000000 569.590182 75.135899 57.973030 0.000103 0.000114 0.016274 0.281996
2.115043 4.222887 0.094378 0.000000 567.952725 87.147221 68.993039 0.000066 0.000086 0.016330 0.279421
2.131025 4.524512 0.084504 0.000000 566.284993 99.589858 80.983584 0.000019 0.000082 0.016937 0.279421
2.148258 4.924473 0.080052 0.000000 564.514467 112.562916 93.729897 0.000021 0.000075 0.018412 0.277159
2.163968 5.144816 0.071888 0.000000 562.651110 125.696558 107.096701 0.000096 0.000060 0.020939 0.277159
2.182700 5.582175 0.062908 0.000000 560.772164 138.857933 121.115748 0.000222 0.000097 0.024444 0.256040
2.199805 6.239104 0.054404 0.000000 558.766403 152.398624 135.558905 0.000324 0.000104 0.028893 0.256040
2.216424 5.834488 0.046640 0.000000 556.711567 166.453175 150.042952 0.000337 0.000163 0.034098 0.270439
2.232345 6.191795 0.039282 0.000000 554.491005 181.346914 164.734587 0.000285 0.000174 0.039161 0.270439
2.249169 6.383974 0.035083 0.000000 552.223853 196.449358 179.036177 0.000234 0.000189 0.043267 0.266161
2.264407 6.472612 0.032096 0.000000 549.928487 210.954473 192.958858 0.000106 0.000149 0.044743 0.266161
2.282360 6.524875 0.030115 0.000000 547.584656 224.966392 206.524891 0.000056 0.000127 0.044932 0.122150
2.299951 6.494005 0.028925 0.000000 545.174335 237.378499 219.168472 0.000035 0.000109 0.043099 0.122150
2.316109 6.526980 0.029483 0.000000 542.749587 248.127258 230.740976 0.000069 0.000108 0.040214 0.122387
2.330373 6.830318 0.032270 0.000000 540.306385 256.944793 241.523440 0.000158 0.000110 0.037418 0.122387
2.345405 6.247750 0.033885 0.000000 537.807036 263.603148 251.257619 0.000208 0.000145 0.035966 0.123435
2.359358 6.226913 0.034207 0.000000 535.316386 267.919352 259.977003 0.000192 0.000149 0.036569 0.123435
2.375275 5.827736 0.030926 0.000000 532.841520 270.191820 267.633638 0.000196 0.000159 0.040931 0.126394
2.389115 5.359293 0.030492 0.000000 530.377773 271.059338 273.865349 0.000198 0.000132 0.050765 0.126394
2.406342 5.170465 0.029798 0.000000 527.937712 270.358968 277.973856 0.000150 0.000088 0.066420 0.129461
2.422551 5.103236 0.029433 0.000000 525.498843 268.322805 279.986734 0.000140 0.000088 0.087843 0.129461
2.440266 4.640980 0.028740 0.000000 523.131127 264.145364 279.509742 0.000153 0.000059 0.112819 0.132409
2.454591 4.599957 0.029202 0.000000 520.794314 258.337427 276.387085 0.000173 0.000058 0.136897 0.132409
2.471073 4.231694 0.030231 0.000000 518.526136 251.379878 270.936599 0.000170 0.000070 0.155703 0.135519
2.485362 4.366877 0.031554 0.000000 516.266586 243.489575 263.684630 0.000198 0.000141 0.171021 0.135519
2.500995 3.838799 0.032789 0.000000 514.041762 234.533127 254.946933 0.000172 0.000166 0.184976 0.136579
2.514949 3.670976 0.034258 0.000000 511.870005 225.131680 245.362934 0.000235 0.000165 0.198764 0.136579
2.529015 3.416612 0.034296 0.000000 509.794870 215.119933 235.140792 0.000274 0.000171 0.211430 0.121404
2.542003 3.129376 0.035703 0.000000 507.781090 204.495606 224.388242 0.000263 0.000107 0.223295 0.121404
2.555226 3.290561 0.039151 0.000000 505.825286 193.485875 213.283355 0.000241 0.000089 0.233757 0.121130
2.568504 2.728851 0.044445 0.000000 503.950478 182.279733 201.732888 0.000209 0.000091 0.242416 0.121130
2.581522 2.621918 0.049992 0.000000 502.100804 170.865264 189.718142 0.000157 0.000049 0.245423 0.121185
2.594076 2.255055 0.054289 0.000000 500.307733 159.473482 177.453547 0.000087 0.000044 0.240342 0.121185
2.609279 2.079566 0.056769 0.000000 498.578872 148.561275 165.245778 0.000048 0.000018 0.228610 0.120980
2.623358 1.937931 0.057398 0.000000 496.923405 138.048758 153.399146 0.000037 0.000032 0.211682 0.120980
2.640208 1.823221 0.055684 0.000000 495.301135 128.078941 142.064802 0.000013 0.000038 0.193869 0.120774
2.657398 1.682192 0.050706 0.000000 493.736530 118.792199 131.279733 0.000003 0.000043 0.180654 0.120774
2.671847 1.393003 0.042647 0.000000 492.287845 110.260231 121.090697 0.000007 0.000012 0.171921 0.227037
2.688232 2.113656 0.034345 0.000000 490.850819 102.619348 111.586866 0.000024 0.000008 0.166331 0.227037
2.706621 1.269299 0.025732 0.000000 489.462007 95.716714 102.746071 0.000047 0.000033 0.162758 0.226616
2.724364 1.226158 0.018981 0.000000 488.112027 89.530741 94.526313 0.000115 0.000088 0.164222 0.226616
2.741611 1.108695 0.014135 0.000000 486.753627 83.812499 86.993380 0.000160 0.000120 0.169630 0.149069
2.754862 1.014443 0.009848 0.000000 485.476200 78.614866 80.081915 0.000172 0.000122 0.178531 0.149069
2.768471 0.994969 0.008489 0.000000 484.258121 73.828528 73.614011 0.000165 0.000126 0.188862 0.149750
2.783062 2.364757 0.009411 0.000000 483.013160 69.496032 67.497023 0.000147 0.000113 0.196395 0.149750
2.796425 2.327343 0.013162 0.000000 481.848907 65.615220 61.761384 0.000148 0.000069 0.200009 0.149033
2.809989 0.920275 0.019749 0.000000 480.682391 62.131568 56.120207 0.000117 0.000039 0.200335 0.149033
2.824083 4.087378 0.029382 0.000000 479.538213 58.832186 50.515005 0.000125 0.000009 0.198737 0.256692
2.838467 0.801722 0.039499 0.000000 478.426981 56.142616 45.411860 0.000166 0.000008 0.194650 0.256692
2.852725 0.761860 0.047305 0.000000 477.340407 53.649642 40.971843 0.000245 0.000005 0.188428 0.256870
2.866155 0.735794 0.049767 0.000000 476.279534 51.474679 37.212501 0.000273 0.000016 0.182225 0.256870
2.880422 0.699294 0.047659 0.000000 475.225401 49.312961 34.126862 0.000353 0.000026 0.177051 0.228410
2.894693 4.182625 0.040910 0.000000 474.236105 47.123278 31.678879 0.000383 0.000030 0.174201 0.228410
2.908214 0.633179 0.033527 0.000000 473.231394 45.005472 29.835490 0.000347 0.000032 0.174895 0.228549
2.924830 0.603310 0.026532 0.000000 472.250457 42.867268 28.484220 0.000319 0.000035 0.175641 0.228549
2.942444 0.573623 0.021431 0.000000 471.272541 40.805802 27.480253 0.000306 0.000055 0.176936 0.227856
2.956620 0.545969 0.018427 0.477146 470.329303 38.918903 26.681323 0.000320 0.000061 0.180253 0.227856
2.970108 0.517401 0.015110 0.487337 469.410235 37.129812 25.988002 0.000312 0.000068 0.184507 0.227479
2.982803 0.497402 0.012880 0.505231 468.423730 35.512255 25.305877 0.000286 0.000083 0.192603 0.227479
2.995750 0.474755 0.011784 0.512074 467.546716 34.048565 24.510339 0.000272 0.000092 0.205743 0.226999
3.009684 0.435874 0.011245 0.521090 466.705981 32.716673 23.773938 0.000248 0.000113 0.221050 0.226999
3.023526 0.417718 0.010917 0.531089 465.880550 31.545973 23.070819 0.000166 0.000097 0.236770 0.258871
3.037502 0.402789 0.010754 0.540593 465.070474 30.197967 22.238062 0.000124 0.000068 0.252306 0.258871
3.052535 0.389285 0.010519 0.549374 464.418603 28.880604 21.381382 0.000066 0.000040 0.271467 0.226316
3.066241 0.354258 0.010612 0.557395 463.655669 27.475658 20.561381 0.000032 0.000005 0.294249 0.226316
3.079568 0.309383 0.010752 0.564961 462.804356 26.060292 19.785559 0.000012 0.000004 0.321872 0.226826
3.092803 0.324671 0.011229 0.571189 462.077499 24.702558 19.061686 0.000024 0.000025 0.351452 0.226826
3.106050 0.280770 0.011857 0.578197 461.519167 23.317781 18.362348 0.000069 0.000028 0.381209 0.227553
3.118721 0.284960 0.011982 0.583950 460.857730 21.974879 17.688708 0.000087 0.000015 0.408725 0.227553
3.133450 0.256417 0.011966 0.589172 460.203756 20.642499 17.030426 0.000091 0.000010 0.431223 0.228428
3.147020 0.243040 0.011778 0.594042 459.587065 19.301384 16.393605 0.000151 0.000004 0.443517 0.228428
3.160479 0.231228 0.011356 0.598315 458.989707 17.992411 15.736967 0.000154 0.000005 0.445578 0.227800
3.173710 0.238868 0.010909 0.601811 458.385376 16.713500 15.057989 0.000149 0.000011 0.436404 0.227800
3.187139 0.207835 0.010387 0.605427 457.821219 15.558104 14.413610 0.000131 0.000007 0.418456 0.227547
3.203897 0.195681 0.010456 0.608465 457.266102 14.576785 13.830349 0.000153 0.000008 0.395109 0.227547
3.219674 0.186774 0.010809 0.611331 456.713563 13.786327 13.355883 0.000152 0.000029 0.369483 0.227126
3.233289 0.180112 0.010788 0.613169 456.296272 13.191493 13.041372 0.000182 0.000059 0.343992 0.227126
3.246722 0.173348 0.010004 0.615405 455.807335 12.771499 12.920103 0.000187 0.000076 0.314327 0.226605
3.260764 0.156764 0.008449 0.616608 455.344157 12.472982 12.979532 0.000166 0.000077 0.281488 0.226605
3.276273 0.160737 0.006667 0.617330 454.915403 12.269719 13.228003 0.000149 0.000098 0.252223 0.225941
3.292520 0.230325 0.004859 0.617987 454.516779 12.043804 13.541832 0.000111 0.000087 0.225578 0.225941
